sex,age_group,year,state,number_of_death
Male,25-29,2013,Sarawak,139
Male,25-29,2013,Selangor,271
Male,25-29,2013,Terengganu,99
Male,25-29,2013,W.P. Kuala Lumpur,89
Male,60-64,2014,Penang,619
Male,25-29,2013,W.P. Putrajaya,6
Male,30-34,2013,Johor,296
Male,30-34,2013,Kedah,158
Male,30-34,2013,Kelantan,160
Male,30-34,2013,Melaka,65
Male,30-34,2013,Negeri Sembilan,96
Male,65-69,2014,Penang,640
Male,30-34,2013,Pahang,180
Male,30-34,2013,Perak,196
Male,30-34,2013,Perlis,20
Male,30-34,2013,Sabah,0
Male,30-34,2013,Sarawak,159
Male,30-34,2013,Selangor,320
Male,30-34,2013,Terengganu,112
Male,30-34,2013,W.P. Kuala Lumpur,104
Male,70-74,2014,Penang,645
Male,30-34,2013,W.P. Putrajaya,4
Male,35-39,2013,Johor,342
Male,35-39,2013,Kedah,171
Male,35-39,2013,Kelantan,170
Male,35-39,2013,Melaka,80
Male,35-39,2013,Negeri Sembilan,127
Male,75-79,2014,Penang,702
Male,35-39,2013,Pahang,182
Male,35-39,2013,Perak,237
Male,35-39,2013,Perlis,24
Male,35-39,2013,Sabah,0
Male,35-39,2013,Sarawak,200
Male,35-39,2013,Selangor,386
Male,35-39,2013,Terengganu,146
Male,35-39,2013,W.P. Kuala Lumpur,121
Male,80-84,2014,Penang,478
Male,35-39,2013,W.P. Putrajaya,5
Male,40-44,2013,Johor,431
Male,40-44,2013,Kedah,232
Male,40-44,2013,Kelantan,212
Male,40-44,2013,Melaka,88
Male,40-44,2013,Negeri Sembilan,128
Male,85 +,2014,Penang,452
Male,40-44,2013,Pahang,223
Male,40-44,2013,Perak,326
Male,40-44,2013,Perlis,27
Male,40-44,2013,Sabah,0
Male,40-44,2013,Sarawak,254
Male,40-44,2013,Selangor,573
Male,40-44,2013,Terengganu,174
Male,40-44,2013,W.P. Kuala Lumpur,191
Female,Under 1 year,2014,Penang,63
Male,40-44,2013,W.P. Putrajaya,5
Male,45-49,2013,Johor,574
Male,45-49,2013,Kedah,390
Male,45-49,2013,Kelantan,253
Male,45-49,2013,Melaka,145
Male,45-49,2013,Negeri Sembilan,198
Female,1-4,2014,Penang,15
Male,45-49,2013,Pahang,265
Male,45-49,2013,Perak,469
Male,45-49,2013,Perlis,36
Male,45-49,2013,Sabah,0
Male,45-49,2013,Sarawak,355
Male,45-49,2013,Selangor,734
Male,45-49,2013,Terengganu,177
Male,45-49,2013,W.P. Kuala Lumpur,249
Female,5-9,2014,Penang,7
Male,45-49,2013,W.P. Putrajaya,4
Male,50-54,2013,Johor,789
Male,50-54,2013,Kedah,491
Male,50-54,2013,Kelantan,360
Male,50-54,2013,Melaka,211
Male,50-54,2013,Negeri Sembilan,281
Female,10-14,2014,Penang,3
Male,50-54,2013,Pahang,352
Male,50-54,2013,Perak,643
Male,50-54,2013,Perlis,68
Male,50-54,2013,Sabah,0
Male,50-54,2013,Sarawak,449
Male,50-54,2013,Selangor,1050
Male,50-54,2013,Terengganu,260
Male,50-54,2013,W.P. Kuala Lumpur,351
Female,15-19,2014,Penang,23
Male,50-54,2013,W.P. Putrajaya,8
Male,55-59,2013,Johor,1009
Male,55-59,2013,Kedah,625
Male,55-59,2013,Kelantan,451
Male,55-59,2013,Melaka,258
Male,55-59,2013,Negeri Sembilan,365
Female,20-24,2014,Penang,26
Male,55-59,2013,Pahang,414
Male,55-59,2013,Perak,839
Male,55-59,2013,Perlis,70
Male,55-59,2013,Sabah,0
Male,55-59,2013,Sarawak,491
Male,55-59,2013,Selangor,1278
Male,55-59,2013,Terengganu,324
Male,55-59,2013,W.P. Kuala Lumpur,396
Female,25-29,2014,Penang,14
Male,55-59,2013,W.P. Putrajaya,11
Male,60-64,2013,Johor,1115
Male,60-64,2013,Kedah,763
Male,60-64,2013,Kelantan,565
Male,60-64,2013,Melaka,268
Male,60-64,2013,Negeri Sembilan,381
Female,30-34,2014,Penang,35
Male,60-64,2013,Pahang,543
Male,60-64,2013,Perak,979
Male,60-64,2013,Perlis,87
Male,60-64,2013,Sabah,0
Male,60-64,2013,Sarawak,560
Male,60-64,2013,Selangor,1334
Male,60-64,2013,Terengganu,323
Male,60-64,2013,W.P. Kuala Lumpur,451
Female,35-39,2014,Penang,47
Male,60-64,2013,W.P. Putrajaya,5
Male,65-69,2013,Johor,1070
Male,65-69,2013,Kedah,750
Male,65-69,2013,Kelantan,690
Male,65-69,2013,Melaka,290
Male,65-69,2013,Negeri Sembilan,366
Female,40-44,2014,Penang,75
Male,65-69,2013,Pahang,570
Male,65-69,2013,Perak,993
Male,65-69,2013,Perlis,111
Male,65-69,2013,Sabah,0
Male,65-69,2013,Sarawak,724
Male,65-69,2013,Selangor,1330
Male,65-69,2013,Terengganu,420
Male,65-69,2013,W.P. Kuala Lumpur,428
Female,45-49,2014,Penang,136
Male,65-69,2013,W.P. Putrajaya,3
Male,70-74,2013,Johor,1126
Male,70-74,2013,Kedah,845
Male,70-74,2013,Kelantan,532
Male,70-74,2013,Melaka,296
Male,70-74,2013,Negeri Sembilan,372
Female,50-54,2014,Penang,184
Male,70-74,2013,Pahang,529
Male,70-74,2013,Perak,1177
Male,70-74,2013,Perlis,136
Male,70-74,2013,Sabah,0
Male,70-74,2013,Sarawak,743
Male,70-74,2013,Selangor,1363
Male,70-74,2013,Terengganu,397
Male,70-74,2013,W.P. Kuala Lumpur,447
Female,55-59,2014,Penang,309
Male,70-74,2013,W.P. Putrajaya,5
Male,75-79,2013,Johor,1162
Male,75-79,2013,Kedah,922
Male,75-79,2013,Kelantan,689
Male,75-79,2013,Melaka,324
Male,75-79,2013,Negeri Sembilan,429
Female,60-64,2014,Penang,379
Male,75-79,2013,Pahang,547
Male,75-79,2013,Perak,1184
Male,75-79,2013,Perlis,113
Male,75-79,2013,Sabah,0
Male,75-79,2013,Sarawak,673
Male,75-79,2013,Selangor,1316
Male,75-79,2013,Terengganu,414
Male,75-79,2013,W.P. Kuala Lumpur,431
Female,65-69,2014,Penang,416
Male,75-79,2013,W.P. Putrajaya,4
Male,80-84,2013,Johor,708
Male,80-84,2013,Kedah,623
Male,80-84,2013,Kelantan,426
Male,80-84,2013,Melaka,213
Male,80-84,2013,Negeri Sembilan,273
Female,70-74,2014,Penang,494
Male,80-84,2013,Pahang,299
Male,80-84,2013,Perak,799
Male,80-84,2013,Perlis,80
Male,80-84,2013,Sabah,0
Male,80-84,2013,Sarawak,582
Male,80-84,2013,Selangor,838
Male,80-84,2013,Terengganu,255
Male,80-84,2013,W.P. Kuala Lumpur,351
Female,75-79,2014,Penang,610
Male,80-84,2013,W.P. Putrajaya,2
Male,85 +,2013,Johor,695
Male,85 +,2013,Kedah,506
Male,85 +,2013,Kelantan,476
Male,85 +,2013,Melaka,200
Male,85 +,2013,Negeri Sembilan,253
Female,80-84,2014,Penang,576
Male,85 +,2013,Pahang,253
Male,85 +,2013,Perak,743
Male,85 +,2013,Perlis,91
Male,85 +,2013,Sabah,0
Male,85 +,2013,Sarawak,598
Male,85 +,2013,Selangor,784
Male,85 +,2013,Terengganu,215
Male,85 +,2013,W.P. Kuala Lumpur,308
Female,85 +,2014,Penang,794
Male,85 +,2013,W.P. Putrajaya,1
Female,Under 1 year,2013,Johor,171
Female,Under 1 year,2013,Kedah,102
Female,Under 1 year,2013,Kelantan,105
Female,Under 1 year,2013,Melaka,42
Female,Under 1 year,2013,Negeri Sembilan,61
Male,Under 1 year,2015,Penang,77
Female,Under 1 year,2013,Pahang,106
Female,Under 1 year,2013,Perak,100
Female,Under 1 year,2013,Perlis,14
Female,Under 1 year,2013,Sabah,0
Female,Under 1 year,2013,Sarawak,95
Female,Under 1 year,2013,Selangor,275
Female,Under 1 year,2013,Terengganu,93
Female,Under 1 year,2013,W.P. Kuala Lumpur,47
Male,1-4,2015,Penang,13
Female,Under 1 year,2013,W.P. Putrajaya,10
Female,1-4,2013,Johor,33
Female,1-4,2013,Kedah,25
Female,1-4,2013,Kelantan,35
Female,1-4,2013,Melaka,8
Female,1-4,2013,Negeri Sembilan,12
Male,5-9,2015,Penang,8
Female,1-4,2013,Pahang,22
Female,1-4,2013,Perak,35
Female,1-4,2013,Perlis,3
Female,1-4,2013,Sabah,0
Female,1-4,2013,Sarawak,26
Female,1-4,2013,Selangor,73
Female,1-4,2013,Terengganu,29
Female,1-4,2013,W.P. Kuala Lumpur,18
Male,10-14,2015,Penang,19
Female,1-4,2013,W.P. Putrajaya,1
Female,5-9,2013,Johor,20
Female,5-9,2013,Kedah,19
Female,5-9,2013,Kelantan,22
Female,5-9,2013,Melaka,8
Female,5-9,2013,Negeri Sembilan,5
Male,15-19,2015,Penang,73
Female,5-9,2013,Pahang,11
Female,5-9,2013,Perak,21
Female,5-9,2013,Perlis,4
Female,5-9,2013,Sabah,0
Female,5-9,2013,Sarawak,25
Female,5-9,2013,Selangor,40
Female,5-9,2013,Terengganu,9
Female,5-9,2013,W.P. Kuala Lumpur,5
Male,20-24,2015,Penang,80
Female,5-9,2013,W.P. Putrajaya,0
Female,10-14,2013,Johor,28
Female,10-14,2013,Kedah,41
Female,10-14,2013,Kelantan,18
Female,10-14,2013,Melaka,9
Female,10-14,2013,Negeri Sembilan,11
Male,25-29,2015,Penang,60
Female,10-14,2013,Pahang,20
Female,10-14,2013,Perak,16
Female,10-14,2013,Perlis,3
Female,10-14,2013,Sabah,0
Female,10-14,2013,Sarawak,26
Female,10-14,2013,Selangor,35
Female,10-14,2013,Terengganu,17
Female,10-14,2013,W.P. Kuala Lumpur,8
Male,30-34,2015,Penang,98
Female,10-14,2013,W.P. Putrajaya,0
Female,15-19,2013,Johor,63
Female,15-19,2013,Kedah,54
Female,15-19,2013,Kelantan,36
Female,15-19,2013,Melaka,20
Female,15-19,2013,Negeri Sembilan,15
Male,35-39,2015,Penang,116
Female,15-19,2013,Pahang,22
Female,15-19,2013,Perak,47
Female,15-19,2013,Perlis,2
Female,15-19,2013,Sabah,0
Female,15-19,2013,Sarawak,31
Female,15-19,2013,Selangor,56
Female,15-19,2013,Terengganu,18
Female,15-19,2013,W.P. Kuala Lumpur,17
Male,40-44,2015,Penang,175
Female,15-19,2013,W.P. Putrajaya,0
Female,20-24,2013,Johor,68
Female,20-24,2013,Kedah,51
Female,20-24,2013,Kelantan,45
Female,20-24,2013,Melaka,17
Female,20-24,2013,Negeri Sembilan,20
Male,45-49,2015,Penang,295
Female,20-24,2013,Pahang,28
Female,20-24,2013,Perak,51
Female,20-24,2013,Perlis,8
Female,20-24,2013,Sabah,0
Female,20-24,2013,Sarawak,37
Female,20-24,2013,Selangor,95
Female,20-24,2013,Terengganu,30
Female,20-24,2013,W.P. Kuala Lumpur,26
Male,50-54,2015,Penang,401
Female,20-24,2013,W.P. Putrajaya,1
Female,25-29,2013,Johor,101
Female,25-29,2013,Kedah,59
Female,25-29,2013,Kelantan,54
Female,25-29,2013,Melaka,20
Female,25-29,2013,Negeri Sembilan,33
Male,55-59,2015,Penang,598
Female,25-29,2013,Pahang,37
Female,25-29,2013,Perak,64
Female,25-29,2013,Perlis,6
Female,25-29,2013,Sabah,0
Female,25-29,2013,Sarawak,47
Female,25-29,2013,Selangor,95
Female,25-29,2013,Terengganu,28
Female,25-29,2013,W.P. Kuala Lumpur,24
Male,60-64,2015,Penang,671
Female,25-29,2013,W.P. Putrajaya,1
Female,30-34,2013,Johor,88
Female,30-34,2013,Kedah,50
Female,30-34,2013,Kelantan,58
Female,30-34,2013,Melaka,27
Female,30-34,2013,Negeri Sembilan,26
Male,65-69,2015,Penang,699
Female,30-34,2013,Pahang,50
Female,30-34,2013,Perak,63
Female,30-34,2013,Perlis,8
Female,30-34,2013,Sabah,0
Female,30-34,2013,Sarawak,53
Female,30-34,2013,Selangor,121
Female,30-34,2013,Terengganu,42
Female,30-34,2013,W.P. Kuala Lumpur,36
Male,70-74,2015,Penang,665
Female,30-34,2013,W.P. Putrajaya,4
Female,35-39,2013,Johor,144
Female,35-39,2013,Kedah,81
Female,35-39,2013,Kelantan,70
Female,35-39,2013,Melaka,38
Female,35-39,2013,Negeri Sembilan,56
Male,75-79,2015,Penang,722
Female,35-39,2013,Pahang,62
Female,35-39,2013,Perak,73
Female,35-39,2013,Perlis,9
Female,35-39,2013,Sabah,0
Female,35-39,2013,Sarawak,83
Female,35-39,2013,Selangor,182
Female,35-39,2013,Terengganu,45
Female,35-39,2013,W.P. Kuala Lumpur,48
Male,80-84,2015,Penang,519
Female,35-39,2013,W.P. Putrajaya,3
Female,40-44,2013,Johor,188
Female,40-44,2013,Kedah,108
Female,40-44,2013,Kelantan,106
Female,40-44,2013,Melaka,51
Female,40-44,2013,Negeri Sembilan,67
Male,85 +,2015,Penang,494
Female,40-44,2013,Pahang,104
Female,40-44,2013,Perak,146
Female,40-44,2013,Perlis,10
Female,40-44,2013,Sabah,0
Female,40-44,2013,Sarawak,142
Female,40-44,2013,Selangor,231
Female,40-44,2013,Terengganu,70
Female,40-44,2013,W.P. Kuala Lumpur,63
Female,Under 1 year,2015,Penang,63
Female,40-44,2013,W.P. Putrajaya,0
Female,45-49,2013,Johor,327
Female,45-49,2013,Kedah,213
Female,45-49,2013,Kelantan,152
Female,45-49,2013,Melaka,56
Female,45-49,2013,Negeri Sembilan,78
Female,1-4,2015,Penang,13
Female,45-49,2013,Pahang,122
Female,45-49,2013,Perak,217
Female,45-49,2013,Perlis,24
Female,45-49,2013,Sabah,0
Female,45-49,2013,Sarawak,185
Female,45-49,2013,Selangor,350
Female,45-49,2013,Terengganu,90
Female,45-49,2013,W.P. Kuala Lumpur,123
Female,5-9,2015,Penang,4
Female,45-49,2013,W.P. Putrajaya,2
Female,50-54,2013,Johor,425
Female,50-54,2013,Kedah,269
Female,50-54,2013,Kelantan,230
Female,50-54,2013,Melaka,113
Female,50-54,2013,Negeri Sembilan,154
Female,10-14,2015,Penang,10
Female,50-54,2013,Pahang,200
Female,50-54,2013,Perak,336
Female,50-54,2013,Perlis,41
Female,50-54,2013,Sabah,0
Female,50-54,2013,Sarawak,247
Female,50-54,2013,Selangor,509
Female,50-54,2013,Terengganu,141
Female,50-54,2013,W.P. Kuala Lumpur,183
Female,15-19,2015,Penang,22
Female,50-54,2013,W.P. Putrajaya,8
Female,55-59,2013,Johor,514
Female,55-59,2013,Kedah,355
Female,55-59,2013,Kelantan,282
Female,55-59,2013,Melaka,164
Female,55-59,2013,Negeri Sembilan,202
Female,20-24,2015,Penang,23
Female,55-59,2013,Pahang,259
Female,55-59,2013,Perak,440
Female,55-59,2013,Perlis,46
Female,55-59,2013,Sabah,0
Female,55-59,2013,Sarawak,309
Female,55-59,2013,Selangor,675
Female,55-59,2013,Terengganu,189
Female,55-59,2013,W.P. Kuala Lumpur,229
Female,25-29,2015,Penang,28
Female,55-59,2013,W.P. Putrajaya,3
Female,60-64,2013,Johor,696
Female,60-64,2013,Kedah,453
Female,60-64,2013,Kelantan,325
Female,60-64,2013,Melaka,170
Female,60-64,2013,Negeri Sembilan,237
Female,30-34,2015,Penang,45
Female,60-64,2013,Pahang,306
Female,60-64,2013,Perak,589
Female,60-64,2013,Perlis,65
Female,60-64,2013,Sabah,0
Female,60-64,2013,Sarawak,367
Female,60-64,2013,Selangor,778
Female,60-64,2013,Terengganu,184
Female,60-64,2013,W.P. Kuala Lumpur,242
Female,35-39,2015,Penang,55
Female,60-64,2013,W.P. Putrajaya,8
Female,65-69,2013,Johor,651
Female,65-69,2013,Kedah,456
Female,65-69,2013,Kelantan,438
Female,65-69,2013,Melaka,184
Female,65-69,2013,Negeri Sembilan,205
Female,40-44,2015,Penang,95
Female,65-69,2013,Pahang,328
Female,65-69,2013,Perak,671
Female,65-69,2013,Perlis,76
Female,65-69,2013,Sabah,0
Female,65-69,2013,Sarawak,456
Female,65-69,2013,Selangor,893
Female,65-69,2013,Terengganu,274
Female,65-69,2013,W.P. Kuala Lumpur,314
Female,45-49,2015,Penang,150
Female,65-69,2013,W.P. Putrajaya,3
Female,70-74,2013,Johor,766
Female,70-74,2013,Kedah,641
Female,70-74,2013,Kelantan,513
Female,70-74,2013,Melaka,236
Female,70-74,2013,Negeri Sembilan,254
Female,50-54,2015,Penang,195
Female,70-74,2013,Pahang,380
Female,70-74,2013,Perak,859
Female,70-74,2013,Perlis,100
Female,70-74,2013,Sabah,0
Female,70-74,2013,Sarawak,560
Female,70-74,2013,Selangor,1038
Female,70-74,2013,Terengganu,348
Female,70-74,2013,W.P. Kuala Lumpur,347
Female,55-59,2015,Penang,289
Female,70-74,2013,W.P. Putrajaya,8
Female,75-79,2013,Johor,985
Female,75-79,2013,Kedah,866
Female,75-79,2013,Kelantan,623
Female,75-79,2013,Melaka,295
Female,75-79,2013,Negeri Sembilan,403
Female,60-64,2015,Penang,376
Female,75-79,2013,Pahang,428
Female,75-79,2013,Perak,1069
Female,75-79,2013,Perlis,120
Female,75-79,2013,Sabah,0
Female,75-79,2013,Sarawak,624
Female,75-79,2013,Selangor,1262
Female,75-79,2013,Terengganu,400
Female,75-79,2013,W.P. Kuala Lumpur,385
Female,65-69,2015,Penang,499
Female,75-79,2013,W.P. Putrajaya,7
Female,80-84,2013,Johor,869
Female,80-84,2013,Kedah,767
Female,80-84,2013,Kelantan,636
Female,80-84,2013,Melaka,294
Female,80-84,2013,Negeri Sembilan,343
Female,70-74,2015,Penang,519
Female,80-84,2013,Pahang,308
Female,80-84,2013,Perak,1035
Female,80-84,2013,Perlis,101
Female,80-84,2013,Sabah,0
Female,80-84,2013,Sarawak,711
Female,80-84,2013,Selangor,1072
Female,80-84,2013,Terengganu,309
Female,80-84,2013,W.P. Kuala Lumpur,424
Female,75-79,2015,Penang,613
Female,80-84,2013,W.P. Putrajaya,8
Female,85 +,2013,Johor,1198
Female,85 +,2013,Kedah,810
Female,85 +,2013,Kelantan,659
Female,85 +,2013,Melaka,326
Female,85 +,2013,Negeri Sembilan,402
Female,80-84,2015,Penang,568
Female,85 +,2013,Pahang,391
Female,85 +,2013,Perak,1260
Female,85 +,2013,Perlis,153
Female,85 +,2013,Sabah,0
Female,85 +,2013,Sarawak,780
Female,85 +,2013,Selangor,1286
Female,85 +,2013,Terengganu,369
Female,85 +,2013,W.P. Kuala Lumpur,527
Female,85 +,2015,Penang,876
Female,85 +,2013,W.P. Putrajaya,4
Male,Under 1 year,2014,Johor,213
Male,Under 1 year,2014,Kedah,137
Male,Under 1 year,2014,Kelantan,178
Male,Under 1 year,2014,Melaka,51
Male,Under 1 year,2014,Negeri Sembilan,74
Male,Under 1 year,2016,Penang,72
Male,Under 1 year,2014,Pahang,129
Male,Under 1 year,2014,Perak,134
Male,Under 1 year,2014,Perlis,26
Male,Under 1 year,2014,Sabah,295
Male,Under 1 year,2014,Sarawak,140
Male,Under 1 year,2014,Selangor,313
Male,Under 1 year,2014,Terengganu,118
Male,Under 1 year,2014,W.P. Kuala Lumpur,92
Male,1-4,2016,Penang,18
Male,Under 1 year,2014,W.P. Putrajaya,18
Male,1-4,2014,Johor,32
Male,1-4,2014,Kedah,27
Male,1-4,2014,Kelantan,47
Male,1-4,2014,Melaka,16
Male,1-4,2014,Negeri Sembilan,10
Male,5-9,2016,Penang,11
Male,1-4,2014,Pahang,33
Male,1-4,2014,Perak,29
Male,1-4,2014,Perlis,1
Male,1-4,2014,Sabah,78
Male,1-4,2014,Sarawak,36
Male,1-4,2014,Selangor,78
Male,1-4,2014,Terengganu,25
Male,1-4,2014,W.P. Kuala Lumpur,15
Male,10-14,2016,Penang,15
Male,1-4,2014,W.P. Putrajaya,5
Male,5-9,2014,Johor,23
Male,5-9,2014,Kedah,30
Male,5-9,2014,Kelantan,40
Male,5-9,2014,Melaka,15
Male,5-9,2014,Negeri Sembilan,8
Male,15-19,2016,Penang,75
Male,5-9,2014,Pahang,20
Male,5-9,2014,Perak,27
Male,5-9,2014,Perlis,0
Male,5-9,2014,Sabah,49
Male,5-9,2014,Sarawak,34
Male,5-9,2014,Selangor,43
Male,5-9,2014,Terengganu,16
Male,5-9,2014,W.P. Kuala Lumpur,10
Male,20-24,2016,Penang,95
Male,5-9,2014,W.P. Putrajaya,1
Male,10-14,2014,Johor,75
Male,10-14,2014,Kedah,40
Male,10-14,2014,Kelantan,48
Male,10-14,2014,Melaka,7
Male,10-14,2014,Negeri Sembilan,15
Male,25-29,2016,Penang,84
Male,10-14,2014,Pahang,40
Male,10-14,2014,Perak,41
Male,10-14,2014,Perlis,8
Male,10-14,2014,Sabah,55
Male,10-14,2014,Sarawak,42
Male,10-14,2014,Selangor,82
Male,10-14,2014,Terengganu,21
Male,10-14,2014,W.P. Kuala Lumpur,11
Male,30-34,2016,Penang,121
Male,10-14,2014,W.P. Putrajaya,0
Male,15-19,2014,Johor,199
Male,15-19,2014,Kedah,147
Male,15-19,2014,Kelantan,127
Male,15-19,2014,Melaka,49
Male,15-19,2014,Negeri Sembilan,76
Male,35-39,2016,Penang,152
Male,15-19,2014,Pahang,109
Male,15-19,2014,Perak,158
Male,15-19,2014,Perlis,14
Male,15-19,2014,Sabah,100
Male,15-19,2014,Sarawak,93
Male,15-19,2014,Selangor,236
Male,15-19,2014,Terengganu,63
Male,15-19,2014,W.P. Kuala Lumpur,46
Male,40-44,2016,Penang,208
Male,15-19,2014,W.P. Putrajaya,1
Male,20-24,2014,Johor,227
Male,20-24,2014,Kedah,139
Male,20-24,2014,Kelantan,130
Male,20-24,2014,Melaka,71
Male,20-24,2014,Negeri Sembilan,90
Male,45-49,2016,Penang,285
Male,20-24,2014,Pahang,119
Male,20-24,2014,Perak,150
Male,20-24,2014,Perlis,13
Male,20-24,2014,Sabah,134
Male,20-24,2014,Sarawak,141
Male,20-24,2014,Selangor,264
Male,20-24,2014,Terengganu,94
Male,20-24,2014,W.P. Kuala Lumpur,75
Male,50-54,2016,Penang,419
Male,20-24,2014,W.P. Putrajaya,0
Male,25-29,2014,Johor,201
Male,25-29,2014,Kedah,133
Male,25-29,2014,Kelantan,91
Male,25-29,2014,Melaka,43
Male,25-29,2014,Negeri Sembilan,84
Male,55-59,2016,Penang,582
Male,25-29,2014,Pahang,98
Male,25-29,2014,Perak,154
Male,25-29,2014,Perlis,17
Male,25-29,2014,Sabah,193
Male,25-29,2014,Sarawak,150
Male,25-29,2014,Selangor,279
Male,25-29,2014,Terengganu,81
Male,25-29,2014,W.P. Kuala Lumpur,87
Male,60-64,2016,Penang,743
Male,25-29,2014,W.P. Putrajaya,0
Male,30-34,2014,Johor,270
Male,30-34,2014,Kedah,161
Male,30-34,2014,Kelantan,158
Male,30-34,2014,Melaka,60
Male,30-34,2014,Negeri Sembilan,105
